City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
481,ypsonas,20,CY,1616048268,55,34.6884,32.9574,60.8,20.71
482,san jeronimo,96,PE,1616048268,88,-11.9472,-75.2829,46.81,1.28
483,leova,100,MD,1616048269,94,46.4786,28.2553,36.77,16.84
484,saint anthony,1,US,1616048269,74,45.0205,-93.218,35.01,3.44
485,riyadh,0,SA,1616047975,11,24.6877,46.7219,87.8,6.91
486,puerto baquerizo moreno,40,EC,1616048270,78,-0.9,-89.6,78.48,6.96
487,kodinsk,97,RU,1616048270,87,58.6881,99.1844,23.9,7.94
488,francisco beltrao,58,BR,1616048271,97,-26.0811,-53.055,63.43,4.14
489,brigantine,90,US,1616048271,100,39.4101,-74.3646,44.01,6.8
490,biloela,86,AU,1616048272,69,-24.4167,150.5,80.28,9.06
491,caraballeda,62,VE,1616048272,81,10.6112,-66.8522,66.99,9.95
492,sijunjung,88,ID,1616048068,58,-0.6876,100.9537,89.82,1.68
493,asau,100,RO,1616048081,65,46.4333,26.4,35.01,6.67
494,shenkursk,100,RU,1616048273,86,62.1091,42.896,14.9,6.17
495,leningradskiy,55,RU,1616048247,89,69.3833,178.4167,-15.95,8.1
496,raymond,100,US,1616048274,91,43.9015,-70.4703,30.99,3.15
497,spornoye,90,RU,1616048274,100,50.8448,37.2913,30.2,6.71
498,mocuba,13,MZ,1616048275,83,-16.8392,36.9856,78.94,0.34
499,turka,100,UA,1616048275,84,49.1541,23.0297,32,10.13
500,bud,100,US,1616048276,98,39.447,-86.1758,55,8.19
501,joao pinheiro,85,BR,1616048049,82,-17.7425,-46.1725,66.04,2.84
502,sarankhola,5,BD,1616048276,13,22.3082,89.7897,100.38,4.12
503,zabaykalsk,100,RU,1616048277,56,49.6333,117.3167,26.55,2.84
504,port-cartier,40,CA,1616048277,86,50.0334,-66.8654,26.01,5.75
505,richards bay,100,ZA,1616048277,92,-28.783,32.0377,73.9,9.35
506,sovetskiy,100,RU,1616048278,93,61.3614,63.5842,25.83,8.28
507,cao bang,68,VN,1616048278,58,22.6667,106.25,85.93,9.91
508,harper,99,LR,1616048279,88,4.375,-7.7169,77.83,7
509,husavik,0,IS,1616048279,66,66.0449,-17.3389,50,20.71
510,mareeba,31,AU,1616048280,66,-17,145.4333,86,11.5
511,gorontalo,37,ID,1616048280,73,0.5412,123.0595,87.12,0.38
512,colomi,90,BO,1616048281,88,-17.35,-65.8667,59,3.44
513,karnobat,0,BG,1616048281,87,42.65,26.9833,41,5.75
514,aykhal,94,RU,1616048282,91,66,111.5,5.72,22.68
515,caravelas,25,BR,1616048282,90,-17.7125,-39.2481,74.12,3.38
516,silver city,1,US,1616048283,38,32.7701,-108.2803,41,11.5
517,rassvet,100,RU,1616048283,95,46.8333,40.75,41.38,6.53
518,seminole,1,US,1616048284,78,28.7086,-81.2081,71.01,5.75
519,kaitangata,0,NZ,1616048077,66,-46.2817,169.8464,53.53,3.06
520,buraydah,0,SA,1616048110,43,26.326,43.975,75.2,10.36
521,hasaki,20,JP,1616048285,55,35.7333,140.8333,64.99,12.66
522,charters towers,100,AU,1616048285,48,-20.1,146.2667,86.77,10
523,elizabeth city,90,US,1616048286,93,36.2946,-76.2511,48.2,3.44
524,mitu,96,CO,1616048286,98,1.1983,-70.1733,71.67,2.17
525,inhambane,40,MZ,1616048287,70,-23.865,35.3833,84.2,5.75
526,anadyr,0,RU,1616048287,70,64.75,177.4833,-13,8.95
527,temple,1,US,1616048288,57,31.0982,-97.3428,48.99,17.27
528,kasangulu,40,CD,1616048289,88,-4.5911,15.1708,77,2.3
529,seoul,40,KR,1616047996,34,37.5683,126.9778,64.4,9.22
